epoch,training_mape,test_mape
1,10.84968678923721,0.644029289020493
2,0.45474158370098067,0.3012109025290333
3,0.3276732804661251,0.26984698698265447
4,0.2814879281173428,0.20671930415632522
6,0.22698357726526003,0.19930311342171322
8,0.18087386476506798,0.14055151033597807
10,0.1557237063616047,0.138808208654915
11,0.15101611349882094,0.1358049412113968
12,0.14284789196300682,0.11844346039031256
13,0.13483645707576783,0.11827579508761366
14,0.12782840855802263,0.1166243621600623
15,0.12604186281069293,0.11494307750316246
17,0.12444655935864937,0.11414836942876902
18,0.12322821017654267,0.1096027539284646
22,0.1210945425617958,0.10918893153146114
23,0.1183820743214739,0.10849587072610636
24,0.11882562483869127,0.10732421240780404
28,0.11827811458850362,0.10620656072384485
33,0.11545960479192789,0.10608779451548235
38,0.11252000267488194,0.1051235274230245
40,0.11506884765290265,0.10387361968534317
41,0.11274164486525193,0.10364327221863442
53,0.11411665075773998,0.10234408163740781
62,0.11300499308873516,0.10199109218803329
70,0.11707105780648623,0.10134963621704925
73,0.11124724693563127,0.10115274157092206
97,0.11203275521914419,0.10111995211786233
102,0.11166466674215117,0.10047996325004242
107,0.10938625564826622,0.09973188550343562
118,0.11301671801023948,0.0992609085779286
126,0.1102127359859815,0.0973371476180381
137,0.11181265257028807,0.09673008827146651
142,0.10956038730812334,0.0954892677881253
146,0.10696632545098388,0.09436637441280885
153,0.10918317410345414,0.0939050941486917
159,0.10746966932153423,0.09356617532186517
160,0.1067815315117692,0.09243846275014607
163,0.10395085373425748,0.0915782669761916
167,0.10453511331152428,0.08998742366971385
175,0.10316516920697508,0.0899608210206359
183,0.1040633609244647,0.08883620658165145
184,0.10384805221675149,0.08802903761911697
216,0.1026348611321818,0.08797147531958752
226,0.10147025787515389,0.08733902504873843
229,0.10069420025132687,0.08610739881361938
236,0.10019059511193228,0.08561982431219786
263,0.09677265931901269,0.08499439053871385
275,0.09665755463382084,0.08425612059189219
279,0.0968999407369949,0.08400915040952397
288,0.09548951211874046,0.08314679842527482
312,0.0968113290415494,0.08313957661090372
322,0.09340096356686582,0.08224422456688109
323,0.09416029568457786,0.08136943939729012
339,0.09665455038383489,0.08065525509846505
347,0.0932860266590683,0.08063937978578727
350,0.09339538610466937,0.07942104989906461
383,0.09096487360992271,0.07910439167563674
393,0.09055273638520295,0.07883475550466575
395,0.09034355057024866,0.07867452290935027
407,0.09055525997090527,0.07818323536030437
414,0.09110619741061944,0.07817491565891503
431,0.08913074151306993,0.07804975169902532
435,0.0889431129283304,0.07731571902622351
438,0.0887103508482546,0.07695868284137339
453,0.08751711817582902,0.0768497219515414
456,0.08708527267071253,0.07678319151152849
481,0.08709040105114482,0.07650785220400085
498,0.08691710716616871,0.0763764714605745
