pwr,cp,lut,ff,dsp,bram
0.246,4.745,639,577,0,0
0.274,6.401,1547,2448,10,0
0.251,5.673,998,1083,0,0
0.252,6.582,1224,1330,0,0
0.261,6.475,1220,1587,0,0
0.253,4.123,714,800,0,0
0.255,6.373,1305,1660,10,0
0.25,4.091,580,1026,0,0
0.268,6.692,994,1039,10,0
0.255,5.173,1126,1654,0,0
0.254,5.619,645,724,0,0
0.248,6.429,827,1338,11,0
0.249,5.241,925,1619,0,0
0.27,6.569,1051,1451,10,0
0.273,6.472,930,1144,10,0
0.256,4.817,467,636,0,0
0.257,5.275,657,1071,0,0
0.252,5.821,1811,2053,0,0
0.255,4.198,1182,1315,0,0
0.268,6.742,1126,2073,10,0
0.25,4.484,575,905,0,0
0.251,5.249,1082,1101,0,0
0.255,5.244,831,1213,0,0
0.254,6.583,1076,1209,10,0
0.259,4.284,595,665,0,0
0.268,3.979,1615,1805,0,0
0.25,4.468,873,1734,0,0
0.269,6.616,1147,1468,10,0
0.254,5.79,1043,1688,0,0
0.252,6.039,769,1167,0,0
0.269,7.076,854,1394,10,0
0.266,6.585,849,1552,10,0
0.263,5.262,1021,1194,0,0
0.261,4.631,1726,3317,0,0
0.259,6.606,952,1248,10,0
0.253,5.773,1759,2337,0,0
0.266,5.935,1693,1962,0,0
0.253,4.206,687,856,0,0
0.26,4.884,947,816,0,0
0.252,4.784,1056,1687,0,0
0.245,5.443,604,605,0,0
0.265,4.622,1406,3057,0,0
0.254,5.281,1110,1653,0,0
0.261,7.025,1340,1526,10,0
0.256,5.281,828,1240,0,0
0.262,5.861,1425,1735,0,0
0.247,4.896,1047,1542,0,0
0.253,5.22,1354,1739,0,0
0.267,5.531,2432,3495,0,0
0.249,4.602,406,651,0,0
0.256,5.281,828,1240,0,0
0.255,5.921,935,1237,0,0
0.264,6.645,1008,1222,10,0
0.258,5.733,1200,1618,0,0
0.241,5.005,623,556,0,0
0.257,4.835,920,880,0,0
0.256,4.834,1551,1803,0,0
0.247,5.556,1419,1984,0,0
0.243,4.48,536,538,0,0
0.251,4.585,536,843,0,0
0.254,6.005,1800,2459,0,0
0.263,5.73,1216,1178,0,0
0.254,4.802,884,1136,0,0
0.257,4.438,735,938,0,0
0.254,5.826,1311,1415,0,0
0.253,4.214,686,534,0,0
0.247,4.565,982,951,0,0
0.251,4.667,887,956,0,0
0.254,4.838,1142,1611,0,0
0.256,4.204,1404,2226,0,0
0.256,4.963,1048,1178,0,0
0.258,5.77,865,923,0,0
0.25,4.847,1163,1635,0,0
0.247,4.286,661,882,0,0
0.262,6.531,1111,1648,10,0
0.255,5.244,831,1213,0,0
0.244,4.785,1280,1918,0,0
0.255,4.198,1182,1315,0,0
0.265,6.404,821,1169,10,0
0.252,4.865,837,1042,0,0
0.258,6.782,1051,1286,10,0
0.254,4.342,644,600,0,0
0.257,4.551,876,1685,0,0
0.256,5.468,1101,1642,0,0
0.255,4.393,1062,1644,0,0
0.258,4.81,576,959,0,0
0.252,4.253,540,567,0,0
0.249,6.063,717,717,0,0
0.262,4.963,651,745,0,0
0.269,6.601,1014,1310,10,0
0.256,4.817,467,636,0,0
0.257,6.724,1019,1220,10,0
0.254,6.273,950,1553,10,0
0.267,6.36,1376,2406,10,0
0.253,4.569,452,638,0,0
0.264,6.64,783,1102,10,0
0.264,6.679,989,1735,10,0
0.277,6.309,1436,1960,10,0
0.254,5.595,790,1189,0,0
0.257,4.988,1161,1820,0,0
